Metoda skalowania,Metoda selekcji,Elitaryzm,Prawdopodobieństwo krzyżowania,Prawdopodobieństwo mutacji,Wynik,Osiągnięty w generacji
liniowe,wyboru losowego z powtórzeniami,false,0.4,0.01,0.53693,847
liniowe,wyboru losowego z powtórzeniami,false,0.4,0.02,0.40503,948
liniowe,wyboru losowego z powtórzeniami,false,0.4,0.03,0.39912,608
liniowe,wyboru losowego z powtórzeniami,false,0.4,0.04,0.41607,669
liniowe,wyboru losowego z powtórzeniami,false,0.4,0.05,0.39989,41
liniowe,wyboru losowego z powtórzeniami,false,0.4,0.06,0.39795,692
liniowe,wyboru losowego z powtórzeniami,false,0.4,0.07,0.39797,353
liniowe,wyboru losowego z powtórzeniami,false,0.4,0.08,0.39841,411
liniowe,wyboru losowego z powtórzeniami,false,0.4,0.09,0.39812,85
liniowe,wyboru losowego z powtórzeniami,false,0.4,0.1,0.40398,192
liniowe,wyboru losowego z powtórzeniami,false,0.4,0.2,0.39847,530
liniowe,wyboru losowego z powtórzeniami,false,0.4,0.3,0.39877,165
liniowe,wyboru losowego z powtórzeniami,false,0.4,0.4,0.40054,817
liniowe,wyboru losowego z powtórzeniami,false,0.4,0.5,0.39969,970
liniowe,wyboru losowego z powtórzeniami,false,0.4,0.6,0.40427,128
liniowe,wyboru losowego z powtórzeniami,false,0.4,0.7,0.3999,818
liniowe,wyboru losowego z powtórzeniami,false,0.4,0.8,0.39913,810
liniowe,wyboru losowego z powtórzeniami,false,0.4,0.9,0.40102,147
