Metoda skalowania,Metoda selekcji,Elitaryzm,Prawdopodobieństwo krzyżowania,Prawdopodobieństwo mutacji,Wynik,Osiągnięty w generacji
liniowe,turniejów losowych,true,0.01,0.07,0.39878,753
liniowe,turniejów losowych,true,0.02,0.07,0.40367,537
liniowe,turniejów losowych,true,0.03,0.07,0.40048,894
liniowe,turniejów losowych,true,0.04,0.07,0.39861,963
liniowe,turniejów losowych,true,0.05,0.07,0.39835,954
liniowe,turniejów losowych,true,0.06,0.07,0.3986,953
liniowe,turniejów losowych,true,0.07,0.07,0.39796,860
liniowe,turniejów losowych,true,0.08,0.07,0.39835,951
liniowe,turniejów losowych,true,0.09,0.07,0.39824,950
liniowe,turniejów losowych,true,0.1,0.07,0.39796,863
liniowe,turniejów losowych,true,0.2,0.07,0.39878,740
liniowe,turniejów losowych,true,0.3,0.07,0.40308,992
liniowe,turniejów losowych,true,0.4,0.07,0.39862,598
liniowe,turniejów losowych,true,0.5,0.07,0.39791,731
liniowe,turniejów losowych,true,0.6,0.07,0.39827,906
liniowe,turniejów losowych,true,0.7,0.07,0.3979,618
liniowe,turniejów losowych,true,0.8,0.07,0.39872,805
liniowe,turniejów losowych,true,0.9,0.07,0.39825,969
