Metoda skalowania,Metoda selekcji,Elitaryzm,Prawdopodobieństwo krzyżowania,Prawdopodobieństwo mutacji,Wynik,Osiągnięty w generacji
liniowe,turniejów losowych,false,0.5,0.01,0.47873,957
liniowe,turniejów losowych,false,0.5,0.02,0.3979,780
liniowe,turniejów losowych,false,0.5,0.03,0.40366,955
liniowe,turniejów losowych,false,0.5,0.04,0.40367,753
liniowe,turniejów losowych,false,0.5,0.05,0.40561,882
liniowe,turniejów losowych,false,0.5,0.06,0.3986,806
liniowe,turniejów losowych,false,0.5,0.07,0.39791,731
liniowe,turniejów losowych,false,0.5,0.08,0.39878,716
liniowe,turniejów losowych,false,0.5,0.09,0.39897,907
liniowe,turniejów losowych,false,0.5,0.1,0.39803,393
liniowe,turniejów losowych,false,0.5,0.2,0.39797,977
liniowe,turniejów losowych,false,0.5,0.3,0.39885,239
liniowe,turniejów losowych,false,0.5,0.4,0.39908,299
liniowe,turniejów losowych,false,0.5,0.5,0.39829,999
liniowe,turniejów losowych,false,0.5,0.6,0.39809,76
liniowe,turniejów losowych,false,0.5,0.7,0.3985,816
liniowe,turniejów losowych,false,0.5,0.8,0.39802,901
liniowe,turniejów losowych,false,0.5,0.9,0.39906,607
