Metoda skalowania,Metoda selekcji,Elitaryzm,Prawdopodobieństwo krzyżowania,Prawdopodobieństwo mutacji,Wynik,Osiągnięty w generacji
liniowe,wyboru losowego z powtórzeniami,true,0.01,0.07,0.39989,42
liniowe,wyboru losowego z powtórzeniami,true,0.02,0.07,0.3999,717
liniowe,wyboru losowego z powtórzeniami,true,0.03,0.07,0.39905,902
liniowe,wyboru losowego z powtórzeniami,true,0.04,0.07,0.39989,584
liniowe,wyboru losowego z powtórzeniami,true,0.05,0.07,0.39989,42
liniowe,wyboru losowego z powtórzeniami,true,0.06,0.07,0.39989,42
liniowe,wyboru losowego z powtórzeniami,true,0.07,0.07,0.40423,427
liniowe,wyboru losowego z powtórzeniami,true,0.08,0.07,0.39989,42
liniowe,wyboru losowego z powtórzeniami,true,0.09,0.07,0.39877,956
liniowe,wyboru losowego z powtórzeniami,true,0.1,0.07,0.39989,42
liniowe,wyboru losowego z powtórzeniami,true,0.2,0.07,0.40527,699
liniowe,wyboru losowego z powtórzeniami,true,0.3,0.07,0.41295,857
liniowe,wyboru losowego z powtórzeniami,true,0.4,0.07,0.39796,876
liniowe,wyboru losowego z powtórzeniami,true,0.5,0.07,0.40845,849
liniowe,wyboru losowego z powtórzeniami,true,0.6,0.07,0.40172,937
liniowe,wyboru losowego z powtórzeniami,true,0.7,0.07,0.40049,998
liniowe,wyboru losowego z powtórzeniami,true,0.8,0.07,0.39829,707
liniowe,wyboru losowego z powtórzeniami,true,0.9,0.07,0.39803,537
