Metoda skalowania,Metoda selekcji,Elitaryzm,Prawdopodobieństwo krzyżowania,Prawdopodobieństwo mutacji,Wynik,Osiągnięty w generacji
bez skalowania,turniejów losowych,true,0.01,0.07,0.39878,753
bez skalowania,turniejów losowych,true,0.02,0.07,0.40367,537
bez skalowania,turniejów losowych,true,0.03,0.07,0.40266,854
bez skalowania,turniejów losowych,true,0.04,0.07,0.39861,963
bez skalowania,turniejów losowych,true,0.05,0.07,0.39835,954
bez skalowania,turniejów losowych,true,0.06,0.07,0.39865,988
bez skalowania,turniejów losowych,true,0.07,0.07,0.39796,860
bez skalowania,turniejów losowych,true,0.08,0.07,0.39835,951
bez skalowania,turniejów losowych,true,0.09,0.07,0.39824,950
bez skalowania,turniejów losowych,true,0.1,0.07,0.39796,863
bez skalowania,turniejów losowych,true,0.2,0.07,0.39793,850
bez skalowania,turniejów losowych,true,0.3,0.07,0.40493,630
bez skalowania,turniejów losowych,true,0.4,0.07,0.39873,993
bez skalowania,turniejów losowych,true,0.5,0.07,0.39791,731
bez skalowania,turniejów losowych,true,0.6,0.07,0.39827,906
bez skalowania,turniejów losowych,true,0.7,0.07,0.3979,618
bez skalowania,turniejów losowych,true,0.8,0.07,0.39872,805
bez skalowania,turniejów losowych,true,0.9,0.07,0.39825,969
