Metoda skalowania,Metoda selekcji,Elitaryzm,Prawdopodobieństwo krzyżowania,Prawdopodobieństwo mutacji,Wynik,Osiągnięty w generacji
bez skalowania,turniejów losowych,false,0.01,0.07,0.39878,753
bez skalowania,turniejów losowych,false,0.02,0.07,0.40367,537
bez skalowania,turniejów losowych,false,0.03,0.07,0.40048,894
bez skalowania,turniejów losowych,false,0.04,0.07,0.40259,958
bez skalowania,turniejów losowych,false,0.05,0.07,0.39795,579
bez skalowania,turniejów losowych,false,0.06,0.07,0.39865,988
bez skalowania,turniejów losowych,false,0.07,0.07,0.39999,724
bez skalowania,turniejów losowych,false,0.08,0.07,0.39826,951
bez skalowania,turniejów losowych,false,0.09,0.07,0.39824,950
bez skalowania,turniejów losowych,false,0.1,0.07,0.40243,812
bez skalowania,turniejów losowych,false,0.2,0.07,0.39846,826
bez skalowania,turniejów losowych,false,0.3,0.07,0.40493,630
bez skalowania,turniejów losowych,false,0.4,0.07,0.40093,805
bez skalowania,turniejów losowych,false,0.5,0.07,0.39846,859
bez skalowania,turniejów losowych,false,0.6,0.07,0.39825,906
bez skalowania,turniejów losowych,false,0.7,0.07,0.3979,618
bez skalowania,turniejów losowych,false,0.8,0.07,0.40113,871
bez skalowania,turniejów losowych,false,0.9,0.07,0.39825,969
